,tsne_dim_1,tsne_dim_2
659,-76.142296,-2.9664226
660,219.46118,-49.084618
661,154.1956,233.61023
662,37.6591,86.884224
663,139.59311,109.344574
664,-131.58119,35.936424
665,340.4474,-58.04603
666,-17.313475,-58.63124
667,176.71555,84.42905
668,-177.18892,-88.34288
669,105.23674,77.32961
670,57.984394,207.60104
671,82.69326,93.60567
672,10.000231,-106.69971
673,-157.46924,-18.745619
674,20.008469,-186.663
675,-114.87727,133.0409
676,180.26404,-136.48756
677,-179.43591,-112.58125
678,52.76999,-207.61021
679,165.11217,-11.575258
680,107.47897,222.88284
681,146.37703,192.78964
682,-135.91525,212.81865
683,95.19264,9.981536
684,-19.842205,-129.90509
685,-147.41635,22.312197
686,64.18596,49.52202
687,81.54409,49.662792
688,186.164,128.93622
689,168.6984,130.93924
690,82.01166,46.94185
691,-81.88267,-75.93426
692,166.73546,-9.676687
693,276.27844,-29.97251
694,338.7513,-91.60191
695,-272.4167,91.24073
696,-275.57092,-19.75247
697,-119.117805,152.90193
698,105.26037,-164.92412
699,223.7404,34.7846
700,175.42079,151.29666
701,-67.623344,-34.554413
702,116.92925,63.47374
703,-76.43989,119.44646
704,208.4597,104.743454
705,175.82976,208.31644
706,-90.87353,-8.036645
707,-204.46013,-239.01523
708,-122.15748,-221.56902
709,128.27272,-76.83331
710,147.46988,234.40778
711,110.5722,216.27402
712,139.09012,78.197716
713,-93.53721,55.949894
714,-17.006197,-104.63797
715,-208.36575,150.87611
716,-170.36653,47.2865
717,-99.38463,23.765476
718,242.57225,-59.507656
719,77.84927,48.36465
720,-195.22664,-88.49101
721,-61.11997,-109.48243
722,15.03635,-255.01556
723,260.63104,-57.06437
724,-113.721245,-174.48509
725,8.695979,-181.92218
726,86.925095,40.440212
727,29.118896,130.77065
728,-107.094025,182.30768
729,-73.66008,-252.28752
730,31.772243,-195.15681
731,-59.439545,79.76162
732,32.3156,101.27015
733,-221.19658,162.86855
734,-250.16226,96.14073
735,-142.27026,158.84358
736,173.61272,150.57793
737,-52.77568,110.78754
738,-304.8146,33.513405
739,-213.1176,156.85728
740,185.95148,130.26443
741,89.08582,55.408047
742,230.3473,-39.98419
743,84.312126,41.674625
744,-55.928146,-2.1702824
745,224.58746,89.4535
746,-24.123716,110.692154
747,-168.8558,203.84071
748,-280.39606,79.96915
749,-142.99503,198.2768
750,106.49313,211.89177
751,-133.4673,63.48026
752,91.61264,49.652546
753,-10.338582,18.199213
754,128.91876,-1.5925077
755,104.388504,-192.32608
756,33.238495,52.56264
757,-101.49561,85.753944
758,133.30692,4.6609216
759,48.80485,142.4381
760,12.013444,-66.13144
761,-134.28127,-28.730297
762,264.6221,41.98909
763,54.591457,-192.92798
764,219.1094,105.07852
765,19.144012,-198.18877
766,106.443184,237.43979
767,-44.92815,178.47527
768,-261.10037,-5.5056987
769,260.1629,27.17531
770,-232.58803,14.554395
771,59.648117,-233.83345
772,27.95721,-260.31326
773,36.63016,82.72736
774,50.686165,-206.1553
775,105.90972,127.652466
776,193.02225,155.43712
777,-43.71645,-51.67611
